Date,Product,Category,Price,Quantity,Discount,Sales,Region,Customer_Type,Payment_Method,Rating
2023-01-02,Laptop Pro 15,Electronics,85000,8,0,680000,South,Retail,Debit Card,4.0
2023-01-02,Journal Leather,Stationery,700,204,0,142800,South,Corporate,Debit Card,3.6
2023-01-03,Reception Desk,Furniture,35000,15,5,498750,West,Retail,Credit Card,3.9
2023-01-03,Smart Plug,Electronics,2200,1,5,2090,West,Corporate,Net Banking,3.6
2023-01-03,Stapler,Stationery,350,57,0,19950,West,Corporate,Credit Card,4.2
2023-01-04,Stapler,Stationery,350,297,0,103950,North,Retail,Credit Card,3.6
2023-01-04,Paper Cutter,Stationery,1200,130,0,156000,West,Retail,Cash,4.3
2023-01-04,Laminator A4,Stationery,3500,165,0,577500,East,Corporate,Net Banking,4.6
2023-01-04,Monitor 27inch,Electronics,32000,13,5,395200,South,Corporate,Cash,4.0
2023-01-04,Laptop Pro 15,Electronics,85000,6,12,448800,West,Retail,Credit Card,3.8
2023-01-06,Spiral Planner,Stationery,380,253,3,93256,South,Retail,Debit Card,4.2
2023-01-06,Pencil Set,Stationery,600,161,0,96600,North,Corporate,UPI,4.5
2023-01-07,Gaming Headset,Electronics,6500,7,5,43225,East,Corporate,Credit Card,4.6
2023-01-07,Filing Cabinet,Furniture,8500,8,0,68000,South,Corporate,Credit Card,4.2
2023-01-07,Office Chair Deluxe,Furniture,12000,19,0,228000,West,Corporate,Cash,4.6
2023-01-08,Watercolor Set,Stationery,800,61,12,42944,North,Retail,UPI,4.5
2023-01-08,Label Maker,Stationery,1200,274,5,312360,South,Corporate,UPI,4.9
2023-01-08,Bedside Table,Furniture,6500,15,0,97500,South,Corporate,UPI,4.3
2023-01-09,Panel Bed,Furniture,32000,10,8,294400,South,Retail,Cash,4.6
2023-01-09,Webcam HD,Electronics,5500,8,5,41800,East,Corporate,Credit Card,4.0
2023-01-10,Graphics Card,Electronics,28000,11,0,308000,East,Retail,Cash,4.9
2023-01-10,Platform Bed,Furniture,28000,10,15,238000,South,Corporate,Debit Card,3.8
2023-01-10,TV Stand,Furniture,8500,1,5,8075,South,Retail,UPI,4.0
2023-01-11,Robot Vacuum,Electronics,18000,2,15,30600,South,Corporate,Credit Card,4.0
2023-01-11,Gaming Chair Pro,Furniture,22000,9,0,198000,East,Corporate,Debit Card,5.0
2023-01-11,Monitor 32inch,Electronics,45000,6,8,248400,South,Corporate,Credit Card,4.6
2023-01-11,Printer Laser,Electronics,18000,6,12,95040,South,Corporate,UPI,4.0
2023-01-11,Sketchbook A3,Stationery,550,10,5,5225,West,Corporate,Net Banking,4.1
2023-01-12,Visitor Chair,Furniture,4500,17,10,68850,East,Retail,Debit Card,5.0
2023-01-12,Reception Desk,Furniture,35000,7,0,245000,East,Corporate,Credit Card,4.5
2023-01-13,Laptop Air 13,Electronics,72000,8,5,547200,West,Corporate,Credit Card,4.9
2023-01-13,Air Purifier,Electronics,12000,3,5,34200,South,Retail,Net Banking,4.1
2023-01-13,Smart TV 55inch,Electronics,68000,11,5,710600,North,Retail,Cash,3.7
2023-01-14,Monthly Planner,Stationery,420,23,0,9660,South,Corporate,Credit Card,4.9
2023-01-14,Drawing Pad,Stationery,180,220,5,37620,North,Corporate,Net Banking,4.8
2023-01-15,Art Markers,Stationery,900,65,5,55575,North,Corporate,UPI,4.5
2023-01-15,Wireless Earbuds,Electronics,4500,14,5,59850,South,Retail,Debit Card,4.9
2023-01-17,External SSD 1TB,Electronics,6500,3,8,17940,North,Retail,Credit Card,3.9
2023-01-17,Smart TV 55inch,Electronics,68000,14,12,837760,West,Corporate,UPI,3.8
2023-01-18,L-Shape Desk,Furniture,20000,4,8,73600,East,Corporate,UPI,3.9
2023-01-18,Desk Organizer,Stationery,800,141,12,99264,East,Corporate,Debit Card,4.5
2023-01-18,Office Chair Deluxe,Furniture,12000,15,0,180000,East,Retail,UPI,4.3
2023-01-18,Microphone USB,Electronics,6500,12,5,74100,South,Corporate,Cash,4.0
2023-01-18,Paper Cutter,Stationery,1200,270,0,324000,South,Corporate,Credit Card,4.7
2023-01-19,Coffee Table,Furniture,5500,12,5,62700,East,Corporate,Net Banking,5.0
2023-01-21,Drawing Pad,Stationery,180,1,5,171,South,Corporate,Credit Card,3.8
2023-01-21,Reception Desk,Furniture,35000,4,0,140000,East,Corporate,Cash,3.7
2023-01-21,Gaming Headset,Electronics,6500,2,8,11960,West,Retail,Credit Card,3.9
2023-01-21,Sofa Set Office,Furniture,55000,3,5,156750,South,Corporate,Credit Card,4.2
2023-01-21,Gel Pen Set,Stationery,150,286,0,42900,East,Corporate,Credit Card,4.9
2023-01-21,Coffee Table,Furniture,5500,19,5,99275,East,Corporate,Cash,3.6
2023-01-22,Wireless Mouse,Electronics,1500,6,12,7920,North,Corporate,Credit Card,4.7
2023-01-22,Drawing Pad,Stationery,180,225,8,37260,South,Retail,Credit Card,4.3
2023-01-23,Study Table,Furniture,7800,19,8,136344,East,Corporate,Cash,3.7
2023-01-24,Sticky Notes,Stationery,80,241,8,17738,East,Retail,Cash,4.8
2023-01-25,Binding Machine,Stationery,8500,196,10,1499400,North,Retail,Credit Card,4.5
2023-01-25,Ruler Set,Stationery,50,92,5,4370,East,Retail,Credit Card,4.0
2023-01-26,Spiral Planner,Stationery,380,288,5,103968,South,Corporate,UPI,4.2
2023-01-26,Filing Cabinet,Furniture,8500,2,0,17000,South,Retail,Cash,3.7
2023-01-26,Recliner Chair,Furniture,35000,8,10,252000,East,Corporate,Credit Card,4.4
2023-01-26,Robot Vacuum,Electronics,18000,6,8,99360,South,Retail,Debit Card,4.2
2023-01-27,Laptop Pro 15,Electronics,85000,6,3,494700,East,Corporate,Credit Card,3.6
2023-01-27,Coffee Table,Furniture,5500,4,8,20240,East,Corporate,Cash,3.7
2023-01-27,Bar Cabinet,Furniture,32000,11,15,299200,South,Corporate,Credit Card,4.4
2023-01-27,Journal Leather,Stationery,700,21,0,14700,East,Corporate,Credit Card,4.0
2023-01-28,Stapler,Stationery,350,280,8,90160,South,Retail,UPI,4.7
2023-01-28,Noise Cancel HP,Electronics,12000,10,0,120000,South,Retail,Debit Card,4.3
2023-01-28,External SSD 1TB,Electronics,6500,2,5,12350,West,Corporate,Debit Card,4.8
2023-01-28,Marker Set,Stationery,200,209,3,40546,South,Corporate,Net Banking,4.4
2023-01-29,Murphy Bed,Furniture,65000,4,5,247000,South,Corporate,Credit Card,4.9
2023-01-30,L-Shape Desk,Furniture,20000,13,0,260000,West,Corporate,Net Banking,4.3
2023-01-30,Wireless Earbuds,Electronics,4500,13,0,58500,East,Retail,Debit Card,3.7
2023-01-30,Tablet 10inch,Electronics,28000,6,5,159600,West,Retail,Cash,4.5
2023-01-30,Wardrobe 3-door,Furniture,32000,2,0,64000,West,Corporate,Credit Card,4.1
2023-01-31,A4 Paper Ream,Stationery,400,73,5,27740,West,Corporate,UPI,4.9
2023-02-01,Microphone USB,Electronics,6500,9,3,56745,West,Retail,Debit Card,3.7
2023-02-01,Bedside Table,Furniture,6500,15,12,85800,South,Corporate,Debit Card,4.7
2023-02-02,Notebook Leather,Stationery,600,199,10,107460,East,Corporate,Debit Card,4.4
2023-02-02,Sofa Set Office,Furniture,55000,3,10,148500,South,Retail,Debit Card,4.9
2023-02-02,Wireless Mouse,Electronics,1500,6,15,7650,West,Retail,Credit Card,4.1
2023-02-02,Notepad Premium,Stationery,500,168,12,73920,West,Retail,UPI,4.5
2023-02-02,Bedside Table,Furniture,6500,11,0,71500,West,Retail,Debit Card,4.3
2023-02-03,Pen Set Luxury,Stationery,800,209,12,147136,West,Retail,Credit Card,4.1
2023-02-04,Recliner Chair,Furniture,35000,2,3,67900,North,Retail,Debit Card,4.3
2023-02-04,External SSD 1TB,Electronics,6500,8,5,49400,North,Retail,Net Banking,3.6
2023-02-05,Sketchbook A3,Stationery,550,265,15,123888,South,Corporate,Net Banking,4.2
2023-02-05,Art Markers,Stationery,900,111,10,89910,North,Corporate,Debit Card,4.0
2023-02-05,Bluetooth Speaker,Electronics,3500,3,5,9975,West,Corporate,Credit Card,4.5
2023-02-06,Binding Machine,Stationery,8500,215,3,1772675,East,Corporate,Debit Card,4.6
2023-02-06,LED Desk Lamp,Electronics,2200,5,5,10450,East,Retail,Cash,4.6
2023-02-06,Art Markers,Stationery,900,38,0,34200,West,Retail,Credit Card,4.4
2023-02-06,Pen Set Luxury,Stationery,800,139,8,102304,East,Retail,Cash,4.8
2023-02-07,Executive Chair,Furniture,30000,2,3,58200,North,Retail,Net Banking,4.3
2023-02-07,Monitor 27inch,Electronics,32000,10,5,304000,East,Corporate,UPI,4.1
2023-02-08,Wardrobe 3-door,Furniture,32000,9,12,253440,North,Corporate,UPI,4.5
2023-02-08,Bookcase,Furniture,8500,16,0,136000,South,Retail,Net Banking,3.7
2023-02-09,Graphics Card,Electronics,28000,15,15,357000,East,Retail,Credit Card,4.3
2023-02-10,Executive Chair,Furniture,30000,8,0,240000,East,Retail,Net Banking,4.6
2023-02-10,Tablet 10inch,Electronics,28000,13,15,309400,South,Retail,Credit Card,4.9
2023-02-10,Drawing Pad,Stationery,180,107,10,17334,East,Corporate,Credit Card,4.5
2023-02-10,Corner Desk,Furniture,18000,11,8,182160,North,Corporate,Cash,4.8
2023-02-10,Dash Cam,Electronics,6000,6,15,30600,North,Retail,Debit Card,4.4
2023-02-10,TV Stand,Furniture,8500,15,12,112200,East,Retail,Credit Card,3.8
2023-02-10,Binding Machine,Stationery,8500,213,5,1719975,North,Corporate,Cash,4.0
2023-02-10,Tablet 10inch,Electronics,28000,3,5,79800,South,Retail,Credit Card,3.6
2023-02-11,LED Desk Lamp,Electronics,2200,15,12,29040,North,Retail,Debit Card,3.9
2023-02-11,Projector HD,Electronics,55000,3,5,156750,North,Retail,Credit Card,4.5
2023-02-11,Ergonomic Chair,Furniture,18000,12,5,205200,South,Retail,Net Banking,3.7
2023-02-11,Air Purifier,Electronics,12000,8,3,93120,West,Corporate,Debit Card,4.9
2023-02-11,Murphy Bed,Furniture,65000,14,0,910000,East,Retail,UPI,3.7
2023-02-12,Dash Cam,Electronics,6000,9,5,51300,West,Retail,Credit Card,3.9
2023-02-13,Smart TV 55inch,Electronics,68000,9,8,563040,North,Retail,Debit Card,4.4
2023-02-13,Smart Plug,Electronics,2200,1,12,1936,South,Retail,Debit Card,4.8
