"date,product,category,price,quantity,discount"
"2024-01-02,Phone,Electronics,500,2,10"
"2024-01-05,Laptop,Electronics,900,1,15"
"2024-01-10,Tshirt,Clothing,30,5,5"
"2024-01-15,Jeans,Clothing,60,3,8"
"2024-01-20,Bread,Food,5,20,0"
"2024-02-02,TV,Electronics,700,1,12"
"2024-02-05,Headphones,Electronics,120,4,10"
"2024-02-10,Jacket,Clothing,150,2,7"
"2024-02-18,Milk,Food,3,30,0"
"2024-02-25,Chocolate,Food,2,40,0"
"2024-03-02,Tablet,Electronics,400,2,9"
"2024-03-05,Camera,Electronics,650,1,14"
"2024-03-12,Shoes,Clothing,90,3,10"
"2024-03-18,Biscuits,Food,4,25,0"
"2024-03-25,Cheese,Food,8,15,2"
"2024-04-01,Monitor,Electronics,300,2,11"
"2024-04-05,Keyboard,Electronics,40,5,6"
"2024-04-10,Sweater,Clothing,70,4,9"
"2024-04-15,Apple,Food,1,50,0"
"2024-04-22,Juice,Food,3,35,0"
"2024-05-02,Smartwatch,Electronics,250,2,10"
"2024-05-05,Speaker,Electronics,180,3,12"
"2024-05-12,Shorts,Clothing,45,4,6"
"2024-05-18,Rice,Food,20,10,1"
"2024-05-25,Pasta,Food,6,18,0"
"2024-06-01,Drone,Electronics,800,1,18"
"2024-06-05,Mouse,Electronics,25,6,5"
"2024-06-10,Cap,Clothing,15,8,3"
"2024-06-15,Butter,Food,7,20,1"
"2024-06-20,Yogurt,Food,2,30,0"
